epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4348.22,1.43157,0.81553,1.01479,0.92374,0.75961,0.79657,0.38903,1.88716,1.04017,1.47482,0.000307,0.000307,0.000307
72,4410.28,1.41453,0.80946,1.00833,0.92142,0.75773,0.80145,0.38974,1.88292,1.03241,1.47777,0.0002971,0.0002971,0.0002971
73,4471.84,1.41046,0.80725,1.00989,0.91893,0.7624,0.79944,0.3818,1.9234,1.04388,1.52923,0.0002872,0.0002872,0.0002872
74,4533.37,1.41834,0.80806,1.00294,0.92385,0.75828,0.79986,0.39441,1.87425,1.03083,1.48198,0.0002773,0.0002773,0.0002773
75,4595.04,1.38599,0.78909,0.99622,0.93139,0.75202,0.79979,0.38752,1.89479,1.03727,1.50167,0.0002674,0.0002674,0.0002674
76,4656.91,1.3981,0.79345,1.00555,0.91961,0.75443,0.79732,0.39244,1.87269,1.03084,1.4728,0.0002575,0.0002575,0.0002575
77,4718.5,1.38151,0.78459,0.99902,0.9268,0.75999,0.80333,0.39071,1.88516,1.03419,1.49987,0.0002476,0.0002476,0.0002476
78,4779.78,1.37814,0.78296,0.99455,0.92809,0.7582,0.80191,0.39247,1.88458,1.02287,1.50536,0.0002377,0.0002377,0.0002377
79,4841.28,1.35922,0.77447,0.99519,0.92343,0.75955,0.8036,0.39333,1.87024,1.01983,1.48967,0.0002278,0.0002278,0.0002278
80,4903.19,1.343,0.75597,0.98658,0.93469,0.75904,0.80501,0.39935,1.84902,1.0321,1.48013,0.0002179,0.0002179,0.0002179
81,4964.31,1.34497,0.7594,0.9845,0.92666,0.76155,0.80316,0.39284,1.86841,1.02935,1.48402,0.000208,0.000208,0.000208
82,5025.5,1.34146,0.76444,0.98095,0.92234,0.75721,0.80133,0.3921,1.86593,1.02469,1.4968,0.0001981,0.0001981,0.0001981
83,5087.07,1.33589,0.75477,0.98524,0.93228,0.76161,0.80888,0.40014,1.84193,1.03279,1.47245,0.0001882,0.0001882,0.0001882
84,5148.86,1.32537,0.75588,0.98175,0.91721,0.76311,0.80121,0.39733,1.85257,1.03347,1.47345,0.0001783,0.0001783,0.0001783
85,5210.13,1.32904,0.74648,0.97838,0.93319,0.76138,0.80647,0.39713,1.85564,1.02631,1.48625,0.0001684,0.0001684,0.0001684
86,5270.96,1.31102,0.74007,0.96988,0.9395,0.76123,0.80715,0.40359,1.83974,1.02932,1.47978,0.0001585,0.0001585,0.0001585
87,5332.58,1.31154,0.7388,0.97539,0.92952,0.76365,0.80726,0.397,1.85615,1.02447,1.4883,0.0001486,0.0001486,0.0001486
88,5394.14,1.30423,0.73504,0.98236,0.93513,0.75561,0.80554,0.40038,1.8483,1.02894,1.48825,0.0001387,0.0001387,0.0001387
89,5455.38,1.29926,0.73813,0.97121,0.9313,0.75703,0.8049,0.40032,1.84954,1.03492,1.48239,0.0001288,0.0001288,0.0001288
90,5516.2,1.29495,0.73199,0.97344,0.9347,0.76124,0.80447,0.39795,1.86035,1.03381,1.49664,0.0001189,0.0001189,0.0001189
91,5609.19,1.25015,0.69324,1.01175,0.92576,0.75481,0.79573,0.39091,1.87205,1.04399,1.49582,0.000109,0.000109,0.000109
92,5670.5,1.20994,0.66333,1.00359,0.9322,0.75902,0.8025,0.39595,1.85882,1.03334,1.49683,9.91e-05,9.91e-05,9.91e-05
93,5731.28,1.20161,0.66114,0.99663,0.9395,0.75426,0.80319,0.39943,1.84558,1.03316,1.48513,8.92e-05,8.92e-05,8.92e-05
94,5792.18,1.1915,0.65696,0.99634,0.94208,0.75694,0.79842,0.39679,1.84217,1.03199,1.49042,7.93e-05,7.93e-05,7.93e-05
95,5853.61,1.1747,0.64835,0.98947,0.93166,0.75932,0.80417,0.401,1.83541,1.02984,1.48926,6.94e-05,6.94e-05,6.94e-05
96,5914.79,1.17185,0.64412,0.99046,0.91785,0.77291,0.80304,0.40055,1.83877,1.03061,1.49646,5.95e-05,5.95e-05,5.95e-05
97,5975.63,1.16545,0.64161,0.98551,0.93024,0.76331,0.80576,0.40192,1.83641,1.02886,1.5011,4.96e-05,4.96e-05,4.96e-05
98,6036.59,1.16605,0.64035,0.9851,0.91546,0.77484,0.80833,0.40206,1.83718,1.02933,1.50008,3.97e-05,3.97e-05,3.97e-05
99,6097.83,1.16175,0.638,0.98223,0.93756,0.7591,0.80664,0.39944,1.83895,1.0323,1.50168,2.98e-05,2.98e-05,2.98e-05
100,6158.69,1.14782,0.62921,0.98333,0.93566,0.76143,0.80524,0.40046,1.83449,1.02795,1.49807,1.99e-05,1.99e-05,1.99e-05
